dateRep;cases;deaths;popData2019
29/09/2020;435;0;5806081
28/09/2020;424;1;5806081
27/09/2020;619;1;5806081
26/09/2020;678;2;5806081
25/09/2020;559;2;5806081
24/09/2020;558;2;5806081
23/09/2020;476;1;5806081
22/09/2020;1476;5;5806081
21/09/2020;0;0;5806081
20/09/2020;0;0;5806081
19/09/2020;454;0;5806081
18/09/2020;822;2;5806081
17/09/2020;442;0;5806081
16/09/2020;329;0;5806081
15/09/2020;584;4;5806081
14/09/2020;0;0;5806081
13/09/2020;0;0;5806081
12/09/2020;292;0;5806081
11/09/2020;317;1;5806081
10/09/2020;251;0;5806081
09/09/2020;243;0;5806081
08/09/2020;566;1;5806081
07/09/2020;0;0;5806081
06/09/2020;0;0;5806081
05/09/2020;173;1;5806081
04/09/2020;179;0;5806081
03/09/2020;111;1;5806081
02/09/2020;99;1;5806081
01/09/2020;285;0;5806081
31/08/2020;0;0;5806081
30/08/2020;0;0;5806081
29/08/2020;73;0;5806081
28/08/2020;90;1;5806081
27/08/2020;57;0;5806081
26/08/2020;83;0;5806081
25/08/2020;270;2;5806081
24/08/2020;0;0;5806081
23/08/2020;0;0;5806081
22/08/2020;71;0;5806081
21/08/2020;116;0;5806081
20/08/2020;85;0;5806081
19/08/2020;115;0;5806081
18/08/2020;123;0;5806081
17/08/2020;134;0;5806081
16/08/2020;104;0;5806081
15/08/2020;165;0;5806081
14/08/2020;144;0;5806081
13/08/2020;111;0;5806081
12/08/2020;144;1;5806081
11/08/2020;373;3;5806081
10/08/2020;0;0;5806081
09/08/2020;0;0;5806081
08/08/2020;136;0;5806081
07/08/2020;121;1;5806081
06/08/2020;112;0;5806081
05/08/2020;77;0;5806081
04/08/2020;207;1;5806081
03/08/2020;0;0;5806081
02/08/2020;0;0;5806081
01/08/2020;64;0;5806081
31/07/2020;91;1;5806081
30/07/2020;57;1;5806081
29/07/2020;30;0;5806081
28/07/2020;109;0;5806081
27/07/2020;0;0;5806081
26/07/2020;0;0;5806081
25/07/2020;48;1;5806081
24/07/2020;40;1;5806081
23/07/2020;48;0;5806081
22/07/2020;40;0;5806081
21/07/2020;89;0;5806081
20/07/2020;0;0;5806081
19/07/2020;0;0;5806081
18/07/2020;49;1;5806081
17/07/2020;32;0;5806081
16/07/2020;31;0;5806081
15/07/2020;24;0;5806081
14/07/2020;91;1;5806081
13/07/2020;0;0;5806081
12/07/2020;0;0;5806081
11/07/2020;30;0;5806081
10/07/2020;16;0;5806081
09/07/2020;12;0;5806081
08/07/2020;10;2;5806081
07/07/2020;46;1;5806081
06/07/2020;0;0;5806081
05/07/2020;0;0;5806081
04/07/2020;17;0;5806081
03/07/2020;21;0;5806081
02/07/2020;26;1;5806081
01/07/2020;17;0;5806081
30/06/2020;76;1;5806081
29/06/2020;0;0;5806081
28/06/2020;0;0;5806081
27/06/2020;39;1;5806081
26/06/2020;21;0;5806081
25/06/2020;54;0;5806081
24/06/2020;34;1;5806081
23/06/2020;136;2;5806081
22/06/2020;0;0;5806081
21/06/2020;0;0;5806081
20/06/2020;47;0;5806081
19/06/2020;50;2;5806081
18/06/2020;44;0;5806081
17/06/2020;33;0;5806081
16/06/2020;24;1;5806081
15/06/2020;54;0;5806081
14/06/2020;40;3;5806081
13/06/2020;64;1;5806081
12/06/2020;19;0;5806081
11/06/2020;15;0;5806081
10/06/2020;39;0;5806081
09/06/2020;14;4;5806081
08/06/2020;24;2;5806081
07/06/2020;49;1;5806081
06/06/2020;64;4;5806081
05/06/2020;40;2;5806081
04/06/2020;37;0;5806081
03/06/2020;35;4;5806081
02/06/2020;30;2;5806081
01/06/2020;36;3;5806081
31/05/2020;40;3;5806081
30/05/2020;81;0;5806081
29/05/2020;32;3;5806081
28/05/2020;52;2;5806081
27/05/2020;41;0;5806081
26/05/2020;27;1;5806081
25/05/2020;71;1;5806081
24/05/2020;59;0;5806081
23/05/2020;48;0;5806081
22/05/2020;65;7;5806081
21/05/2020;73;3;5806081
20/05/2020;76;3;5806081
19/05/2020;41;1;5806081
18/05/2020;69;4;5806081
17/05/2020;67;5;5806081
16/05/2020;78;0;5806081
15/05/2020;46;4;5806081
14/05/2020;76;6;5806081
13/05/2020;78;4;5806081
12/05/2020;84;5;5806081
11/05/2020;110;3;5806081
10/05/2020;101;4;5806081
09/05/2020;135;6;5806081
08/05/2020;100;6;5806081
07/05/2020;162;3;5806081
06/05/2020;151;7;5806081
05/05/2020;147;9;5806081
04/05/2020;116;8;5806081
03/05/2020;96;11;5806081
02/05/2020;153;10;5806081
01/05/2020;150;9;5806081
30/04/2020;157;9;5806081
29/04/2020;153;7;5806081
28/04/2020;123;5;5806081
27/04/2020;130;4;5806081
26/04/2020;235;15;5806081
25/04/2020;137;9;5806081
24/04/2020;161;10;5806081
23/04/2020;217;14;5806081
22/04/2020;180;6;5806081
21/04/2020;131;9;5806081
20/04/2020;142;9;5806081
19/04/2020;169;10;5806081
18/04/2020;194;15;5806081
17/04/2020;198;12;5806081
16/04/2020;170;10;5806081
15/04/2020;193;14;5806081
14/04/2020;144;12;5806081
13/04/2020;178;13;5806081
12/04/2020;177;13;5806081
11/04/2020;184;10;5806081
10/04/2020;233;19;5806081
09/04/2020;331;15;5806081
08/04/2020;390;16;5806081
07/04/2020;312;8;5806081
06/04/2020;292;18;5806081
05/04/2020;320;22;5806081
04/04/2020;371;16;5806081
03/04/2020;279;19;5806081
02/04/2020;247;14;5806081
01/04/2020;283;13;5806081
31/03/2020;182;5;5806081
30/03/2020;194;7;5806081
29/03/2020;155;13;5806081
28/03/2020;169;11;5806081
27/03/2020;153;7;5806081
26/03/2020;133;2;5806081
25/03/2020;131;8;5806081
24/03/2020;65;11;5806081
23/03/2020;69;0;5806081
22/03/2020;71;4;5806081
21/03/2020;104;3;5806081
20/03/2020;36;2;5806081
19/03/2020;91;0;5806081
18/03/2020;92;3;5806081
17/03/2020;57;0;5806081
16/03/2020;48;1;5806081
15/03/2020;23;0;5806081
14/03/2020;128;0;5806081
13/03/2020;160;0;5806081
12/03/2020;252;0;5806081
11/03/2020;151;0;5806081
10/03/2020;75;0;5806081
09/03/2020;7;0;5806081
08/03/2020;8;0;5806081
07/03/2020;3;0;5806081
06/03/2020;10;0;5806081
05/03/2020;2;0;5806081
04/03/2020;3;0;5806081
03/03/2020;1;0;5806081
02/03/2020;1;0;5806081
01/03/2020;1;0;5806081
29/02/2020;1;0;5806081
28/02/2020;0;0;5806081
27/02/2020;1;0;5806081
26/02/2020;0;0;5806081
25/02/2020;0;0;5806081